"id_realty_input","realty_type","realty_condition","realty_value","realty_cond","realty_iptu","realty_area","realty_rooms","realty_baths","realty_parking","total_cost","value_area"
"141720","Apartamento Padrão","alugar",4100,1600,262.9,126,3,2,1,5962.9,47.3246031746032
"224299","Apartamento Padrão","alugar",3000,374,NA,62,1,1,NA,NA,NA
"224296","Apartamento Padrão","alugar",2900,910,166.44,39,1,1,1,3976.44,101.96
"224291","Apartamento Padrão","alugar",6500,1740,738.54,112,1,2,2,8978.54,80.1655357142857
"132461","Apartamento Padrão","alugar",3800,705.15,345.08,95,3,2,2,4850.23,51.0550526315789
"223512","Apartamento Padrão","alugar",3900,1900,414.41,147,3,2,1,6214.41,42.2748979591837
"223472","Apartamento Duplex","alugar",12000,3200,4341.07,600,4,3,3,19541.07,32.56845
"224233","Apartamento Padrão","alugar",5000,2862.19,747.79,145,3,2,3,8609.98,59.3791724137931
"190624","Casa sobrado","alugar",7000,NA,NA,350,4,5,6,NA,NA
"222925","Apartamento Padrão","alugar",6500,800,NA,65,1,1,2,NA,NA
"177550","Apartamento Padrão","alugar",3200,1341.53,483.55,148,4,2,1,5025.08,33.9532432432432
"224403","Apartamento Padrão","alugar",2830,700,NA,50,1,1,1,NA,NA
"224443","Apartamento Padrão","alugar",5500,1400,146,112,3,2,1,7046,62.9107142857143
"224446","Apartamento Padrão","alugar",6500,1340,400,92,2,2,2,8240,89.5652173913043
"200711","Apartamento Padrão","alugar",3500,1369.78,72.81,105,2,1,1,4942.59,47.0722857142857
"224492","Apartamento Padrão","alugar",4200,1237,325,95,3,2,2,5762,60.6526315789474
"191272","Apartamento Padrão","alugar",8700,3138.65,2072.04,237,4,3,3,13910.69,58.6948945147679
"189430","Apartamento Padrão","alugar",3300,1395,260,140,3,2,1,4955,35.3928571428571
"182049","Apartamento Padrão","alugar",3800,1500,448.32,85,2,2,2,5748.32,67.6272941176471
"224503","Apartamento Padrão","alugar",2900,1298,163.64,83,2,1,1,4361.64,52.5498795180723
"145271","Apartamento Padrão","alugar",3700,1322,205.18,110,2,2,2,5227.18,47.5198181818182
"224504","Apartamento Padrão","alugar",2990,502.9,100,50,2,1,1,3592.9,71.858
"170011","Apartamento Padrão","alugar",1700,543,NA,50,1,1,1,NA,NA
"134896","Casa sobrado","alugar",4950,NA,566.4,19898,3,2,3,NA,NA
"223963","Apartamento Padrão","alugar",3000,1200,317.95,86,3,2,2,4517.95,52.5343023255814
"224536","Apartamento Padrão","alugar",7000,3000,1030,123,3,2,2,11030,89.6747967479675
"224608","Apartamento Padrão","alugar",3900,790,295,54,1,1,1,4985,92.3148148148148
"14109","Apartamento Padrão","alugar",2400,898,271.92,75,2,1,1,3569.92,47.5989333333333
"66194","Apartamento Padrão","alugar",1750,630.88,74.63,45,1,1,1,2455.51,54.5668888888889
"20976","Apartamento Padrão","alugar",1650,517.31,39.91,37,1,1,1,2207.22,59.6545945945946
"224577","Apartamento Padrão","alugar",3500,1332,390,95,3,2,2,5222,54.9684210526316
"224658","Apartamento Padrão","alugar",3200,790,267.7,90,1,1,1,4257.7,47.3077777777778
"224640","Apartamento Padrão","alugar",4500,1400,389.1,95,2,2,2,6289.1,66.2010526315789
"224485","Apartamento Duplex","alugar",2000,1300,300,40,NA,NA,NA,3600,90
"72193","Apartamento Loft","alugar",3600,760,223.35,50,1,1,1,4583.35,91.667
"224679","Apartamento Padrão","alugar",2500,1481.94,144.59,70,2,1,2,4126.53,58.9504285714286
"224676","Apartamento Padrão","alugar",1800,1200,200,30,1,1,1,3200,106.666666666667
"50906","Apartamento Padrão","alugar",1700,990,60,36,1,1,1,2750,76.3888888888889
"56730","Apartamento Padrão","alugar",7000,2200,847.9,171,4,2,2,10047.9,58.759649122807
"224703","Apartamento Padrão","alugar",2700,933,60.53,87,3,1,1,3693.53,42.454367816092
"158664","Apartamento Padrão","alugar",4650,678,265.97,61,1,2,2,5593.97,91.7044262295082
"130424","Apartamento Padrão","alugar",3700,1013.39,296.34,93,3,2,1,5009.73,53.868064516129
"224929","Apartamento Padrão","alugar",7000,1562,584.4,116,3,4,3,9146.4,78.848275862069
"188067","Apartamento Padrão","alugar",5600,1750,480,103,3,2,2,7830,76.0194174757282
"224985","Apartamento Padrão","alugar",4300,1500,343,104,3,2,2,6143,59.0673076923077
"142112","Apartamento Padrão","alugar",3000,980,280,84,2,1,1,4260,50.7142857142857
"224936","Casa térrea","alugar",5000,NA,469.08,400,4,2,1,NA,NA
"225029","Apartamento Padrão","alugar",3200,1050,360,70,3,1,1,4610,65.8571428571429
"225069","Apartamento Padrão","alugar",3400,980,138,58,2,1,1,4518,77.8965517241379
"225062","Apartamento Padrão","alugar",6500,893,245.29,92,2,2,1,7638.29,83.0248913043478
"224999","Apartamento Padrão","alugar",7700,2800,830,170,3,3,2,11330,66.6470588235294
"192740","Apartamento Padrão","alugar",3700,1060,229.75,91,3,2,1,4989.75,54.8324175824176
"149045","Apartamento Padrão","alugar",3700,690,208.12,106,1,1,1,4598.12,43.3784905660377
"225271","Apartamento Padrão","alugar",2200,1141,399.19,27,1,1,1,3740.19,138.525555555556
"178171","Apartamento Padrão","alugar",4000,690,223.37,62,1,1,1,4913.37,79.2479032258065
"167597","Apartamento Padrão","alugar",1800,517.33,83.2,43,1,1,1,2400.53,55.8262790697674
"225348","Apartamento Studio","alugar",2100,830,78.54,38,1,1,NA,3008.54,79.1721052631579
"2661","Apartamento Padrão","alugar",10000,2700,1725.12,196,4,4,4,14425.12,73.5975510204082
"225277","Apartamento Padrão","alugar",2000,1100,53.98,35,1,1,NA,3153.98,90.1137142857143
"225343","Apartamento Padrão","alugar",1950,835,NA,50,1,1,1,NA,NA
"133155","Apartamento Padrão","alugar",2800,670,57,84,2,1,NA,3527,41.9880952380952
"195324","Apartamento Padrão","alugar",2150,923.37,NA,60,1,1,1,NA,NA
"225485","Apartamento Padrão","alugar",1900,691,61,40,1,1,1,2652,66.3
"225562","Apartamento Padrão","alugar",2650,620,73.15,45,1,1,1,3343.15,74.2922222222222
"225578","Apartamento Padrão","alugar",7000,2500,1666.86,200,4,3,4,11166.86,55.8343
"13143","Apartamento Padrão","alugar",3500,1300,800,146,3,4,2,5600,38.3561643835616
"201797","Apartamento Padrão","alugar",3900,881.86,146.55,79,2,2,1,4928.41,62.3849367088608
"167402","Apartamento Padrão","alugar",2200,1285,86.78,86,2,NA,NA,3571.78,41.5323255813953
"225412","Apartamento Padrão","alugar",5300,900,177.76,168,2,2,1,6377.76,37.9628571428571
"225609","Apartamento Padrão","alugar",5500,1750,639.62,135,4,2,2,7889.62,58.4416296296296
"225622","Apartamento Padrão","alugar",3700,500,110.35,40,1,1,1,4310.35,107.75875
"116891","Apartamento cobertura - Padrão","alugar",10000,1000,205.89,100,2,2,1,11205.89,112.0589
"225610","Apartamento Padrão","alugar",1900,910,33.05,60741,2,1,1,2843.05,0.0468061111934278
"200776","Apartamento Studio","alugar",1450,650,200,50,1,1,NA,2300,46
"225671","Apartamento Padrão","alugar",2500,621.73,88.58,60,2,2,1,3210.31,53.5051666666667
"225677","Apartamento Padrão","alugar",7500,1350,699.68,140,3,2,3,9549.68,68.212
"120970","Apartamento Padrão","alugar",2800,924.94,184.96,80,2,1,1,3909.9,48.87375
"225460","Apartamento Kitnet","alugar",4323,438,147.15,37,1,1,1,4908.15,132.652702702703
"225678","Apartamento Padrão","alugar",4700,1631.48,531.62,188,3,2,1,6863.1,36.5058510638298
"160237","Apartamento Padrão","alugar",3000,980,285.42,85,2,1,1,4265.42,50.1814117647059
"11953","Apartamento Padrão","alugar",4500,1000,215,60,2,1,2,5715,95.25
"225681","Apartamento Padrão","alugar",2900,1258,277,90,3,1,1,4435,49.2777777777778
"225766","Apartamento Padrão","alugar",4500,2071,418.69,89,2,2,2,6989.69,78.5358426966292
"225765","Apartamento Padrão","alugar",2100,445,66.87,42,1,1,NA,2611.87,62.1873809523809
"162992","Apartamento Padrão","alugar",2700,1044,155,64,1,1,1,3899,60.921875
"225750","Apartamento Padrão","alugar",4500,300,151.9,80,3,1,NA,4951.9,61.89875
"39888","Apartamento Padrão","alugar",4400,782.84,218.77,112,3,2,1,5401.61,48.2286607142857
"20573","Apartamento Padrão","alugar",1650,458.01,117.58,35,1,1,1,2225.59,63.5882857142857
"225620","Apartamento Padrão","alugar",2400,661,74.63,67,1,NA,NA,3135.63,46.800447761194
